Task,Model,RMSE,MAE
Task 2.1 - Next-day prediction,CNN,0.04650711633142017,0.03761064126933617
Task 2.2 - 7th day prediction,CNN,0.0925213564073291,0.08085640160934511
Task 2.3 - Next 7 days prediction,CNN,0.08562199159424239,0.07221549727125173
