Task,Model,RMSE,MAE
Task 1.1 - Next-day prediction,CNN,0.0242871394961388,0.0168595831852025
Task 1.2 - 7th day prediction,CNN,0.0963789986618938,0.0712212249068989
Task 1.3 - Next 7 days prediction,CNN,0.0572261320743685,0.0391130472456972
