Task,Model,RMSE,MAE
Task 1.1 - Next-day prediction,CNN,0.02428713949613888,0.016859583185202507
Task 1.2 - 7th day prediction,CNN,0.09637899866189381,0.0712212249068989
Task 1.3 - Next 7 days prediction,CNN,0.05722613207436852,0.03911304724569721
