Ticker,Cumulative_Return_120D,Average_Daily_Return
VCB,0.13059250302297462,0.0012361062432722086
VNM,-0.012180921353900904,5.2833460540892735e-05
FPT,-0.06177156177156177,-0.0004123778360974051
HPG,-0.15074309978768577,-0.0008529456630100037
MBB,-0.27061310782241016,-0.002185689508804556
