Task,Model,RMSE,MAE
Task 1.1 - Next-day prediction,CNN,0.0243,0.0169
Task 1.2 - 7th day prediction,CNN,0.0964,0.0712
Task 1.3 - Next 7 days prediction,CNN,0.0572,0.0391
Task 1.2 - 7th day prediction,LSTM,0.1858,0.1341
Task 1.3 - Next 7 days prediction,LSTM,0.1814,0.1236
