Task,RMSE,MAE
Task 1.1 - Next-day prediction,0.025427830778053627,0.017291237746128542
Task 1.2 - 7th day prediction,0.15954981563566106,0.12764540955555245
Task 1.3 - Next 7 days prediction,0.09379281617601241,0.06862422694604083
