Task,Model,RMSE,MAE
Task 1.1 - Next-day prediction,CNN,0.025427830778053627,0.017291237746128542
Task 1.2 - 7th day prediction,CNN,0.16044971784788747,0.1275906162360851
Task 1.3 - Next 7 days prediction,CNN,0.06448395663353886,0.04423465035276099
