Task,Model,Accuracy,Precision,Recall,F1
Task 3.1 - Buy Signal Identification,CNN Binary Classifier,0.5050167224080268,0.48845470692717585,0.9717314487632509,0.6501182033096927
Task 3.2 - Sell Signal Identification,CNN Binary Classifier,0.6672240802675585,0.3055555555555556,0.3076923076923077,0.30662020905923343
