Task,Model,RMSE,MAE
Task 2.1 - Next-day prediction,CNN,0.03607908493413919,0.027564243663335278
Task 2.2 - 7th day prediction,CNN,0.04937636705544168,0.036928155567943974
Task 2.3 - Next 7 days prediction,CNN,0.07304704434817594,0.059432285617604726
